SOLD TO PARTY,SALES ORG,TYPE,VEH/KIT,PERIOD,BV,REGION,CURRENCY,Dispatch Plant,SHIP TO PARTY,TotalQty,GLCODE,YNDP,Per Unit 
10894,ZDOM,CKD,VEH1,2024-04,AH26,AS,INR,WA10,10894,176,510101,64724880,367755
13428,ZDOM,CKD,VEH,2024-04,AH26,TR,INR,WA10,A13428,304,510101,111797520,367755
11889,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,WA10,11889,48,510101,17652240,367755
12079,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,WA10,A12079,16,510101,5884080,367755
11071,ZDO1M,CKD,VEH,2024-04,AH26,AP,INR,WA10,11071,14,510101,5148570,367755
13171,ZDOM,CKD,VEH,2024-04,AH26,WB,INR,WA10,13171,8,510101,2942040,367755
13551,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,WA10,13551,16,510101,5884080,367755
13171,ZDOM,CKD,VEH,2024-04,AH26,WB,INR,WA10,D13171,8,510101,2942040,367755
10813,ZDOM,CKD,VEH,2024-04,AH26,KAR,INR,WA10,10813,24,510101,8826120,367755
11653,ZDOM,CKD,VEH,2024-04,AH26,MP,INR,WA10,11653,4,510101,1471020,367755
12893,ZDOM,CKD,VEH,2024-04,AH26,DEL,INR,WA10,12893,91,510101,33465705,367755
12079,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,WA10,12079,24,510101,8826120,367755
11978,ZDOM,CKD,VEH,2024-04,AH26,KAR,INR,WA10,11978,24,510101,8826120,367755
13180,ZDOM,CKD,VEH,2024-04,AH26,OR,INR,WA10,13180,32,510101,11768160,367755
12182,ZDOM,CKD,VEH,2024-04,AH26,BH,INR,WA10,12182,16,510101,5884080,367755
12001,ZDOM,CKD,VEH,2024-04,AH26,JK,INR,WA10,12001,52,510101,19123260,367755
11980,ZDOM,CKD,VEH,2024-04,AH26,KER,INR,WA10,11980,13,510101,4780815,367755
12755,ZDOM,CKD,VEH,2024-04,AH26,KER,INR,WA10,A12755,8,510101,2942040,367755
11256,ZDOM,CKD,VEH,2024-04,AH26,AP,INR,WA10,11256,14,510101,5148570,367755
10972,ZDOM44,CKD,VEH,2024-04,AH26,AP,INR,WA10,10972,8,510101,2942040,367755
12019,ZDOM,CKD,VEH,2024-04,AH26,AP,INR,WA10,12019,9,510101,3309795,367755
13219,ZDOM,CKD,VEH,2024-04,AH26,AP,INR,WA10,13219,42,510101,15445710,367755
13526,ZDOM,CKD,VEH,2024-04,AH26,MP,INR,WA10,13526,1,510101,367755,367755
11568,ZDOM,CKD,VEH,2024-04,AH26,MP,INR,WA10,11568,8,510101,2942040,367755
12004,ZDOM,CKD,VEH,2024-04,AH26,JK,INR,WA10,12004,8,510101,2942040,367755
12970,ZDOM,CKD,VEH,2024-04,AH26,UT,INR,WA10,12970,16,510101,5884080,367755
12959,ZDOM,CKD,VEH,2024-04,AH26,BH,INR,WA10,12959,1,510101,367755,367755
13024,ZDOM,CKD,VEH,2024-04,AH26,JH,INR,WA10,13024,4,510101,1471020,367755
12079,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,WA10,C12079,8,510101,2942040,367755
11747,ZDOM,CKD,VEH,2024-04,AH26,KER,INR,WA10,11747,8,510101,2942040,367755
13218,ZDOM,CKD,VEH,2024-04,AH26,AP,INR,WA10,13218,3,510101,1103265,367755
13220,ZDOM,CKD,VEH,2024-04,AH26,AP,INR,WA10,13220,3,510101,1103265,367755
11407,ZDOM,CKD,VEH,2024-04,AH26,BH,INR,WA10,11407,11,510101,4045305,367755
10851,ZDOM,CKD,VEH,2024-04,AH26,OR,INR,WA10,10851,8,510101,2942040,367755
11777,ZDOM,CKD,VEH,2024-04,AH26,MP,INR,WA10,11777,8,510101,2942040,367755
11236,ZDOM,CKD,VEH,2024-04,AH26,KAR,INR,WA10,11236,19,510101,6987345,367755
10975,ZDOM,CKD,VEH,2024-04,AH26,KAR,INR,WA10,10975,17,510101,6251835,367755
13026,ZDOM,CKD,VEH,2024-04,AH26,OR,INR,WA10,A13026,8,510101,2942040,367755
12773,ZDOM,CKD,VEH,2024-04,AH26,MP,INR,WA10,12773,1,510101,367755,367755
11306,ZDOM,CKD,VEH,2024-04,AH26,BH,INR,WA10,11306,1,510101,367755,367755
11363,ZDOM,CKD,VEH,2024-04,AH26,BH,INR,WA10,11363,9,510101,3309795,367755
13598,ZDOM,CKD,VEH,2024-04,AH26,BH,INR,WA10,13598,9,510101,3309795,367755
11778,ZDOM,CKD,VEH,2024-04,AH26,RJ,INR,WA10,11778,6,510101,2206530,367755
12008,ZDOM,CKD,VEH,2024-04,AH26,KAR,INR,WA10,12008,4,510101,1471020,367755
11903,ZDOM,CKD,VEH,2024-04,AH26,AP,INR,WA10,11903,6,510101,2206530,367755
13428,ZDOM,CKD,VEH,2024-04,AH26,TR,INR,ZZ01,A13428,92,510101,33833460,367755
10894,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,ZZ01,10894,94,510101,34568970,367755
11889,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,ZZ01,11889,24,510101,8826120,367755
13428,ZDOM,CKD,VEH,2024-04,AH26,TR,INR,WA10,A13428,-8,510101,-2942040,367755
12079,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,ZZ01,12079,12,510101,4413060,367755
12079,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,ZZ01,C12079,8,510101,2942040,367755
12079,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,ZZ01,A12079,24,510101,8826120,367755
13551,ZDOM,CKD,VEH,2024-04,AH26,AS,INR,ZZ01,13551,10,510101,3677550,367755
12909,ZDOM,CKD,VEH,2024-04,AH26,TG,INR,WA10,12909,53,510101,19491015,367755
13404,ZDOM,CKD,VEH,2024-04,AH26,UP,INR,WA10,13404,257,510101,94513035,367755
10966,ZDOM,CKD,VEH,2024-04,AH26,UP,INR,WA10,10966,152,510101,55898760,367755
11956,ZDOM,CKD,VEH,2024-04,AH26,UP,INR,WA10,11956,33,510101,12135915,367755
11140,ZDOM,CKD,VEH,2024-04,AH26,UP,INR,WA10,11140,80,510101,29420400,367755
11221,ZDOM,CKD,VEH,2024-04,AH26,UP,INR,WA10,11221,96,510101,35304480,367755
13404,ZDOM,CKD,VEH,2024-04,AH26,UP,INR,WA10,A13404,32,510101,11768160,367755
